Governorate,district,psu,Location.Name,popgroup,pop,stratum
Ninewa,al.mosul,2706082,Al-Amil,idp_out_camp,53,al.mosulidp_out_camp
Ninewa,tilkaef,2706097,Bysan,idp_out_camp,51,tilkaefidp_out_camp
Ninewa,al.mosul,2706106,Hay alsedeeq,idp_out_camp,450,al.mosulidp_out_camp
Ninewa,al.mosul,2706188,Alqadisiya Al-thaniya,idp_out_camp,102,al.mosulidp_out_camp
Ninewa,al.mosul,2706189,Al-Falah,idp_out_camp,79,al.mosulidp_out_camp
Ninewa,al.mosul,2706326,Ninewa Sharqiya,idp_out_camp,829,al.mosulidp_out_camp
Ninewa,sinjar,2707004,Khana sor,idp_out_camp,500,sinjaridp_out_camp
Ninewa,sinjar,2707005,Sinuni center,idp_out_camp,870,sinjaridp_out_camp
Ninewa,sinjar,2707008,Borek,idp_out_camp,160,sinjaridp_out_camp
Ninewa,sinjar,2707011,Karsi ,idp_out_camp,89,sinjaridp_out_camp
Ninewa,sinjar,2707016,Wary Bahdo,idp_out_camp,80,sinjaridp_out_camp
Ninewa,sinjar,2707017,Sardashty,idp_out_camp,236,sinjaridp_out_camp
Ninewa,sinjar,2707019,Melik,idp_out_camp,110,sinjaridp_out_camp
Erbil,erbil,1202057,Qushtapa centre,idp_out_camp,1235,erbilidp_out_camp
Ninewa,sinjar,2707029,Ashti & Heriko,idp_out_camp,118,sinjaridp_out_camp
Ninewa,sinjar,2707034,Darki Qawala,idp_out_camp,67,sinjaridp_out_camp
Ninewa,sinjar,2707042,Hay Yarmok,idp_out_camp,50,sinjaridp_out_camp
Ninewa,sinjar,2707043,Rozh Halat,idp_out_camp,296,sinjaridp_out_camp
Ninewa,sinjar,2707048,Hay Alzeraee,idp_out_camp,108,sinjaridp_out_camp
Ninewa,telafar,2708003,Al Muthalatha village,idp_out_camp,175,telafaridp_out_camp
Erbil,erbil,1202060,Rizgari,idp_out_camp,705,erbilidp_out_camp
Ninewa,telafar,2708011,Qasabat Zummar,idp_out_camp,90,telafaridp_out_camp
Ninewa,telafar,2708026,Hay Al Askari,idp_out_camp,453,telafaridp_out_camp
Ninewa,telafar,2708029,Hay althahabe,idp_out_camp,55,telafaridp_out_camp
Ninewa,telafar,2708047,Tal Ismair,idp_out_camp,26,telafaridp_out_camp
Ninewa,telafar,2708066,abu khushub,idp_out_camp,22,telafaridp_out_camp
Ninewa,telafar,2708081,Tal Talab vilage,idp_out_camp,18,telafaridp_out_camp
Ninewa,telafar,2708084,Mushah vilage,idp_out_camp,28,telafaridp_out_camp
Ninewa,telafar,2708089,Karsur vilage,idp_out_camp,40,telafaridp_out_camp
Ninewa,telafar,2708090,Ewaynat vilage,idp_out_camp,67,telafaridp_out_camp
Ninewa,telafar,2708098,Abu hajarah,idp_out_camp,75,telafaridp_out_camp
Ninewa,tilkaef,2709003,Al Qawsiyat,idp_out_camp,740,tilkaefidp_out_camp
Ninewa,tilkaef,2709005,Alqosh,idp_out_camp,130,tilkaefidp_out_camp
Ninewa,tilkaef,2709008,Beban,idp_out_camp,120,tilkaefidp_out_camp
Ninewa,tilkaef,2709011,Bozan,idp_out_camp,320,tilkaefidp_out_camp
Ninewa,tilkaef,2709038,Shaykhaka,idp_out_camp,160,tilkaefidp_out_camp
Ninewa,tilkaef,2709041,Manara,idp_out_camp,68,tilkaefidp_out_camp
Ninewa,tilkaef,2709045,Tallsquf,idp_out_camp,290,tilkaefidp_out_camp
Salah al-Din,al.shirqat,2802003,Al Fajir village(Al Tasni),idp_out_camp,10,al.shirqatidp_out_camp
Salah al-Din,al.shirqat,2802007,Hay Al Jumiala,idp_out_camp,52,al.shirqatidp_out_camp
Salah al-Din,al.shirqat,2802013,Baaja,idp_out_camp,17,al.shirqatidp_out_camp
Salah al-Din,al.shirqat,2802015,Hay Al Askari,idp_out_camp,33,al.shirqatidp_out_camp
Salah al-Din,al.shirqat,2802016,Hay Al Qasbah,idp_out_camp,37,al.shirqatidp_out_camp
Salah al-Din,al.shirqat,2802028,Tal Al Jumiala area,idp_out_camp,31,al.shirqatidp_out_camp
Salah al-Din,beygee,2803010,Qaryat Al Sareen,idp_out_camp,125,beygeeidp_out_camp
Salah al-Din,beygee,2803015,Albu Tuama Village,idp_out_camp,197,beygeeidp_out_camp
Salah al-Din,beygee,2803016,Al Hamra village,idp_out_camp,100,beygeeidp_out_camp
