psu,n,new_ID,governorate,district,name,label
2104007,1,cluster_location_id_0240,anbar,ana,Hay Al Shuhadaa,0240 (Hay Al Shuhadaa)
2104009,1,cluster_location_id_0241,anbar,ana,Rawa Al Qadima,0241 (Rawa Al Qadima)
2105012,1,cluster_location_id_0242,anbar,al.falluja,Al Shuhadaa 2,0242 (Al Shuhadaa 2)
2105013,1,cluster_location_id_0243,anbar,al.falluja,Al Shurta,0243 (Al Shurta)
2105018,1,cluster_location_id_0244,anbar,al.falluja,Al-Amirya-Albu Jasim,0244 (Al-Amirya-Albu Jasim)
2105019,2,cluster_location_id_0245,anbar,al.falluja,Al-Amirya-Albu Jwad,0245 (Al-Amirya-Albu Jwad)
2105022,1,cluster_location_id_0246,anbar,al.falluja,Al-bazara,0246 (Al-bazara)
2105027,1,cluster_location_id_0247,anbar,al.falluja,Albu Aifan,0247 (Albu Aifan)
2105028,1,cluster_location_id_0248,anbar,al.falluja,Albu Alwan,0248 (Albu Alwan)
2105031,2,cluster_location_id_0249,anbar,al.falluja,Albu Hori,0249 (Albu Hori)
2105034,1,cluster_location_id_0250,anbar,al.falluja,Albu Khanfar,0250 (Albu Khanfar)
2105037,1,cluster_location_id_0251,anbar,al.falluja,Albu Shihab,0251 (Albu Shihab)
2105044,1,cluster_location_id_0252,anbar,al.falluja,Al-jamhuriya,0252 (Al-jamhuriya)
2105045,1,cluster_location_id_0253,anbar,al.falluja,Al-Julan,0253 (Al-Julan)
2105052,1,cluster_location_id_0254,anbar,al.kadhmiyah,Al-Shurtan,0254 (Al-Shurtan)
2105057,1,cluster_location_id_0255,anbar,al.falluja,Halabsa-Falluja,0255 (Halabsa-Falluja)
2105060,1,cluster_location_id_0256,anbar,al.falluja,Luhib,0256 (Luhib)
2105065,1,cluster_location_id_0257,anbar,al.falluja,Qaryat Albu Hadid Al-Nasir,0257 (Qaryat Albu Hadid Al-Nasir)
2105069,2,cluster_location_id_0258,anbar,al.falluja,Al-Amirya-Al Betra,0258 (Al-Amirya-Al Betra)
2105070,1,cluster_location_id_0259,anbar,al.falluja,Al-Amirya-Al Hmedin,0259 (Al-Amirya-Al Hmedin)
2105071,2,cluster_location_id_0260,anbar,al.falluja,Al-Amirya-Al Mouilha,0260 (Al-Amirya-Al Mouilha)
2105073,2,cluster_location_id_0261,anbar,al.falluja,Al-Amirya-Albu Jaber,0261 (Al-Amirya-Albu Jaber)
2105074,1,cluster_location_id_0262,anbar,al.falluja,Al-Amirya-Albu Mrir,0262 (Al-Amirya-Albu Mrir)
2105075,2,cluster_location_id_0263,anbar,al.falluja,Al-Amirya-Albu Saleh,0263 (Al-Amirya-Albu Saleh)
