"","id_sampl","Survey","strata","psu","DTM.Round","Place.ID","Governorate","District","Location.Name","Arabic.Name","Latitude","Longitude","Families","critical_shelter","COD_Subdistrict","COD_Governorate","pop","IDP_perc","SumDist","proba","survey_buffer"
"140","id_2712",29,"Al-Basrah","3105112",109,891,"Basrah","Basrah","Manawi pasha","مناوي باشا",30.5084310501,47.8411114593,13,TRUE,"Markaz Al-Basrah","Al-Basrah",1591.66174952189,0.81675644991186,4905.98952229818,0.324432358097717,30
"141","id_2783",62,"Al-Kahla","3205002",109,24532,"Missan","Amara","Al Hay Al JameI","الحي الجامعي",31.8070592126,47.1798427496,120,TRUE,"Al-Msharah","Maysan",656.953368822734,18.2661366384407,656.953368822734,1,64
"142","id_2919",8,"Al-Najaf","3403003",109,20260,"Najaf","Najaf","Al bory","قرية البوري",32.2796098883,44.2892570104,25,TRUE,"Al-Haydariya","Al-Najaf",1272.13280512889,1.96520362490511,10429.2182381451,0.121977772070781,9
"143","id_2922",5,"Al-Najaf","3403012",109,20338,"Najaf","Najaf","AL JEDAIDA","الجديدة 4",31.990201697,44.3228198024,64,TRUE,"Markaz Al-Najaf","Al-Najaf",641.616336186727,9.97480836918316,10429.2182381451,0.0615210384456239,6
"144","id_2933",22,"Al-Najaf","3403032",109,19965,"Najaf","Najaf","Aljadidah alulah","الجديدة الاولى",31.9949114615,44.3285638359,21,TRUE,"Markaz Al-Najaf","Al-Najaf",3917.47246805827,0.536059925659384,10429.2182381451,0.375624747570246,23
"145","id_2942",6,"Al-Najaf","3403049",109,21574,"Najaf","Najaf","Al-Shaheed Al-Sadar 1","حي الشهيد الصدر 1",32.0628537147,44.3259695877,20,TRUE,"Markaz Al-Najaf","Al-Najaf",1059.09322786331,1.88840788268936,10429.2182381451,0.101550586408256,7
"146","id_2957",10,"Al-Najaf","3403080",109,29619,"Najaf","Najaf","Al-Mazarea AL-Westa","المزارع الوسطى",32.2412195358,44.280700527,90,TRUE,"Al-Haydariya","Al-Najaf",996.670959909757,9.0300614365396,10429.2182381451,0.0955652607080758,11
"147","id_2958",5,"Al-Najaf","3403081",109,20341,"Najaf","Najaf","Al-Qasim","القاسم",32.3101327841,44.2762337385,65,TRUE,"Al-Haydariya","Al-Najaf",698.91639149189,9.30011097053434,10429.2182381451,0.0670152235318642,6
"148","id_2961",5,"Al-Najaf","3403084",109,29621,"Najaf","Najaf","Mazara Al-Hawli","مزارع الحولي",32.0964972997,44.3292697474,160,TRUE,"Markaz Al-Najaf","Al-Najaf",347.842810183764,45.9977884595265,10429.2182381451,0.033352721387258,6
"149","id_2962",4,"Al-Najaf","3403085",109,29622,"Najaf","Najaf","Fadak Village","قرية فدك",32.2165742135,44.3010811259,48,TRUE,"Al-Haydariya","Al-Najaf",600.616840521495,7.99178390641249,10429.2182381451,0.0575898237822586,5
"150","id_2963",65,"Al-Kufa","3403086",109,29623,"Najaf","Najaf","Al-Mazara 2","المزارع الثانية",32.11799585,44.3386901483,146,TRUE,"Al-Huriya","Al-Najaf",1249.85034533342,11.6813985406431,1249.85034533342,1,67
"151","id_2964",3,"Al-Najaf","3403088",109,29658,"Najaf","Najaf","Al-Shaheed Al-Sadar-Shareet","حي الشهيد الصدر-الشريط",32.0733908111,44.3273256626,42,TRUE,"Markaz Al-Najaf","Al-Najaf",894.856398801009,4.69349049258345,10429.2182381451,0.0858028260956368,4
"152","id_3021",65,"Al-Nasiriya","3504042",109,10263,"Thi-Qar","Nassriya","Sadir City","حي مدينة الصدر",31.0802066016,46.23576004,16,TRUE,"Markaz Al-Nasiriya","Thi Qar",1284.61504920324,1.24550930723751,1284.61504920324,1,67
