,id_sampl,Survey,strata,psu,Place_ID,Governorate,District,Location_name,Arabic_name,Latitude,Longitude,OCHA_admin_1,OCHA_admin_2,OCHA_PCode,pop,COD_Subdistrict,COD_Governorate,SumDist,proba,survey_buffer
33,id_1271,6,Telafar,2708026,18308,Ninewa,Telafar,Hay Al Askari,حي العسكري,36.80246191,42.09719064,IQ-G15,IQ-D090,,1318,Rabia,Ninewa,54996,0.023965379,7
34,id_1272,6,Telafar,2708027,25686,Ninewa,Telafar,Hay Al Arbaeen,حي الاربعين,36.80605796,42.08600213,IQ-G15,IQ-D090,,161,Rabia,Ninewa,54996,0.002927486,7
35,id_1273,6,Telafar,2708028,25808,Ninewa,Telafar,Hay Alasreya,حي العصرية,36.80483492,42.08792852,IQ-G15,IQ-D090,,506,Rabia,Ninewa,54996,0.009200669,7
36,id_1277,6,Telafar,2708032,25688,Ninewa,Telafar,Hay Al Qadisya,حي القادسية,36.805,42.084,IQ-G15,IQ-D090,,407,Rabia,Ninewa,54996,0.007400538,7
37,id_1278,6,Telafar,2708033,18303,Ninewa,Telafar,Hay Al Salam,حي السلام,36.3886,42.464,IQ-G15,IQ-D090,IQ-P20766,605,Markaz Telafar,Ninewa,54996,0.0110008,7
38,id_1280,6,Telafar,2708035,17580,Ninewa,Telafar,Jussa,قرية جصة,36.59552802,42.68164289,IQ-G15,IQ-D090,IQ-P20776,375,Zummar,Ninewa,54996,0.006818678,7
39,id_1287,6,Telafar,2708044,25893,Ninewa,Telafar,Msherfa Village,قرية مشيرفة,36.76490081,42.06503244,IQ-G15,IQ-D090,,416,Rabia,Ninewa,54996,0.007564186,7
40,id_1293,6,Telafar,2708050,17944,Ninewa,Telafar,Tal Mus,قرية تل موس,36.62946121,42.59857779,IQ-G15,IQ-D090,IQ-P20875,850,Zummar,Ninewa,54996,0.01545567,7
41,id_131,6,Al-Falluja,2105065,315,Anbar,Falluja,Qaryat Albu Hadid Al-Nasir,البوحديد الناصر ,33.40387505,43.84486377,IQ-G01,IQ-D002,IQ-P00166,1748,Markaz Al-Falluja,Al-Anbar,90536,0.019307237,7
42,id_1333,6,Telafar,2708107,17587,Ninewa,Telafar,Sahlij,قرية سهلج,36.568891,42.741987,IQ-G15,IQ-D090,IQ-P20849,210,Zummar,Ninewa,54996,0.00381846,7
43,id_134,6,Al-Falluja,2105083,128,Anbar,Falluja,Hay Al Askari,الحي العسكري,33.36152,43.80445,IQ-G01,IQ-D002,IQ-P00026,3545,Markaz Al-Falluja,Al-Anbar,90536,0.039155695,7
44,id_1353,6,Telafar,2708128,17440,Ninewa,Telafar,Al-Qadisiya Alawla,حي القادسية الاولى,36.38287,42.44938,IQ-G15,IQ-D090,IQ-P20826,627,Markaz Telafar,Ninewa,54996,0.011400829,7
45,id_1362,6,Telafar,2708137,33275,Ninewa,Telafar,Hay Al jazira,حي الجزيرة,36.36375,42.4568,,,,1515,Markaz Telafar,Ninewa,54996,0.027547458,7
46,id_1363,6,Telafar,2708138,33276,Ninewa,Telafar,Hay Al khadraa,حي الخضراء,36.36711,42.45525,,,,991,Markaz Telafar,Ninewa,54996,0.018019492,7
47,id_1368,6,Telafar,2708143,33281,Ninewa,Telafar,Hay Alkefah al jenobi,حي الكفاح الجنوبي,36.36544,42.40947,,,,1700,Markaz Telafar,Ninewa,54996,0.030911339,7
48,id_137,6,Al-Falluja,2105086,21809,Anbar,Falluja,Hay Al Shuhadaa,حي الشهداء,33.32251,43.79389,IQ-G01,IQ-D002,IQ-P00135,2875,Markaz Al-Falluja,Al-Anbar,90536,0.031755324,7
49,id_1393,6,Telafar,2708168,33417,Ninewa,Telafar,Sahl Al Milhah Village,قرية سهل المالح,36.5188,42.3589,,,,195,Al-Ayadiya,Ninewa,54996,0.003545712,7
50,id_1407,24,Tilkaef,2709004,24682,Ninewa,Tilkaif,Al Quba,القبة,36.40208884,43.05328391,IQ-G15,IQ-D091,,3600,Markaz Tilkaef,Ninewa,19813,0.181698885,25
51,id_1408,12,Tilkaef,2709010,21603,Ninewa,Tilkaif,Baawiza,بعويزة,36.43356032,43.15522068,IQ-G15,IQ-D091,IQ-P20929,930,Markaz Tilkaef,Ninewa,19813,0.046938879,13
52,id_1409,6,Tilkaef,2709015,17788,Ninewa,Tilkaif,Der Umtutha,قرية ديرام توثة,36.50545966,42.7843006,IQ-G15,IQ-D091,IQ-P20939,450,Wana,Ninewa,19813,0.022712361,7
53,id_1414,12,Tilkaef,2709040,17133,Ninewa,Tilkaif,wanna center,مركز وانة,36.53558507,42.76042037,IQ-G15,IQ-D091,IQ-P21042,1875,Wana,Ninewa,19813,0.094634836,13
54,id_1417,6,Tilkaef,2709045,17959,Ninewa,Tilkaif,Tallsquf,تللسقف,36.59768094,43.10770353,IQ-G15,IQ-D091,IQ-P21038,618,Markaz Tilkaef,Ninewa,19813,0.031191642,7
55,id_1419,12,Tilkaef,2709052,27350,Ninewa,Tilkaif,Mosul Dam,مشروع سد الموصل ,36.61367927,42.83751309,IQ-G15,IQ-D091,,665,Wana,Ninewa,19813,0.033563822,13
56,id_1424,6,Tilkaef,2709060,21601,Ninewa,Tilkaif,Sada Area,منطقة السادة,36.42253923,43.15954824,IQ-G15,IQ-D091,IQ-P20913,1605,Markaz Tilkaef,Ninewa,19813,0.081007419,7
57,id_1438,6,Tilkaef,2709075,33366,Ninewa,Tilkaif,Felfel,قرية فلفيل,36.542952,43.024184,,,,370,Markaz Tilkaef,Ninewa,19813,0.018674608,7
58,id_144,6,Al-Falluja,2105093,21321,Anbar,Falluja,Al Daffar,الدفار,33.260627,43.846702,IQ-G01,IQ-D002,IQ-P00087,1000,Markaz Al-Falluja,Al-Anbar,90536,0.01104533,7
59,id_1450,12,Al-Daur,2801001,20746,Salah al-Din,Al-Daur,Al-Khadhra area,حي الخضراء,34.47699,43.7907,IQ-G18,IQ-D103,IQ-P23412,637,Abu Dalf,Salah Al-Din,10141,0.062814318,13
60,id_1452,6,Al-Daur,2801013,26081,Salah al-Din,Al-Daur,Al Asriyah village,القرية العصرية,34.46089339,43.84258054,IQ-G18,IQ-D103,,253,Abu Dalf,Salah Al-Din,10141,0.02494823,7
61,id_1453,30,Al-Daur,2801015,26116,Salah al-Din,Al-Daur,Al Mujammaa Al Sakani,المجمع السكني,34.4093972,43.7927852,IQ-G18,IQ-D103,,2826,Abu Dalf,Salah Al-Din,10141,0.278670743,31
62,id_1454,6,Al-Daur,2801016,20587,Salah al-Din,Al-Daur,Hay Abu Dalaf,حي ابو دلف,34.45569217,43.79793786,IQ-G18,IQ-D103,IQ-P23391,1485,Abu Dalf,Salah Al-Din,10141,0.146435263,7
63,id_1455,12,Al-Daur,2801017,26079,Salah al-Din,Al-Daur,Hay Al Aboor,حي العبور,34.4652675,43.7911612,IQ-G18,IQ-D103,,910,Abu Dalf,Salah Al-Din,10141,0.08973474,13
64,id_1456,18,Al-Daur,2801018,26078,Salah al-Din,Al-Daur,Hay Al Askri,حي العسكري,34.46264848,43.7951005,IQ-G18,IQ-D103,,831,Abu Dalf,Salah Al-Din,10141,0.081944581,19
65,id_1458,6,Al-Daur,2801020,26080,Salah al-Din,Al-Daur,Hay Al Sharqiyah,حي الشرقية,34.45350793,43.79186232,IQ-G18,IQ-D103,,586,Abu Dalf,Salah Al-Din,10141,0.057785228,7
66,id_1459,18,Al-Daur,2801021,26077,Salah al-Din,Al-Daur,Hay Tal Al Banat,حي تل البنات,34.4476367,43.7970196,IQ-G18,IQ-D103,,1219,Abu Dalf,Salah Al-Din,10141,0.120205108,19
67,id_1460,12,Al-Daur,2801022,20713,Salah al-Din,Al-Daur,Hay Al Qadisiah,حي القادسية,34.473313,43.79128,IQ-G18,IQ-D103,IQ-P23426,748,Abu Dalf,Salah Al-Din,10141,0.073759984,13
68,id_1464,12,Al-Shirqat,2802007,21005,Salah al-Din,Al-Shirqat,Hay Al Jumiala,حي الجميلة,35.49246842,43.23803175,IQ-G18,IQ-D106,IQ-P23587,1353,Markaz Al-Shirqat,Salah Al-Din,20408,0.06629753,13
69,id_1468,6,Beygee,2802012,22306,Salah al-Din,Al-Shirqat,Awad Al Tawee complex,مجمع عواد الطاوي,35.32163962,43.19060133,IQ-G18,IQ-D106,IQ-P23602,264,Makkhoul,Salah Al-Din,19299,0.013679465,8
70,id_1469,6,Al-Shirqat,2802013,20395,Salah al-Din,Al-Shirqat,Baaja,حاوي بعاجه حاوي-حضر,35.54432411,43.22555739,IQ-G18,IQ-D106,IQ-P23603,559,Markaz Al-Shirqat,Salah Al-Din,20408,0.027391219,7
71,id_1471,6,Al-Shirqat,2802016,24210,Salah al-Din,Al-Shirqat,Hay Al Qasbah,حي القصبة,35.52296803,43.23437674,IQ-G18,IQ-D106,IQ-P23608,873,Markaz Al-Shirqat,Salah Al-Din,20408,0.042777342,7
72,id_1474,6,Al-Shirqat,2802025,20991,Salah al-Din,Al-Shirqat,Qaryat Al Sabkha,قرية الصبخة,35.47074425,43.24610126,IQ-G18,IQ-D106,IQ-P23628,363,Markaz Al-Shirqat,Salah Al-Din,20408,0.017787142,7
73,id_1477,6,Al-Shirqat,2802029,20532,Salah al-Din,Al-Shirqat,Tulul Baq,قريه تلول الباج,35.42202397,43.11446188,IQ-G18,IQ-D106,IQ-P23641,512,Markaz Al-Shirqat,Salah Al-Din,20408,0.025088201,7
