,id_sampl,Survey,strata,psu,DTM.Round,Place.ID,Governorate,District,Location.Name,Arabic.Name,Latitude,Longitude,pop,COD_Subdistrict,COD_Governorate,SumDist,proba,survey_buffer
101,id_1626,6,Baquba,2403060,109,25042,Diyala,Ba'quba,Sesbana Village,قرية سيسبانه,33.68877239,44.82847689,18,Kanan,Diyala,3916,0.004596527,7
102,id_1637,1,Baladruz,2404001,109,11230,Diyala,Baladrooz,Al Bazaniya village,قرية البزانية,33.69503187,45.07975032,8,Markaz Baladruz,Diyala,202,0.03960396,2
103,id_1639,2,Baladruz,2404010,109,25238,Diyala,Baladrooz,Al-Ramaila Village,قرية رميلة,33.69530515,45.07748774,14,Markaz Baladruz,Diyala,202,0.069306931,3
104,id_1641,7,Baladruz,2404015,109,11226,Diyala,Baladrooz,Dur Mandiliy Qtr,حي دور مندلي,33.68679069,45.06568264,15,Markaz Baladruz,Diyala,202,0.074257426,8
105,id_1642,19,Baladruz,2404016,109,11257,Diyala,Baladrooz,Hay Al Bakir,حي البكر,33.74307584,45.53450228,75,Mandali,Diyala,202,0.371287129,20
106,id_1643,22,Baladruz,2404020,109,10894,Diyala,Baladrooz,Markaz Mandali,مركز مندلي,33.74644202,45.54954156,90,Mandali,Diyala,202,0.445544554,23
107,id_1654,6,Khanaqin,2405013,109,24407,Diyala,Khanaqin,alkubeah small village,قرية الكبية الصغيرة,34.39949731,45.23336533,25,Markaz Khanaqin,Diyala,2060,0.012135922,7
108,id_1658,30,Khanaqin,2405020,109,25257,Diyala,Khanaqin,Bakhtiari Qtr,حي بختياري,34.31442726,45.35165888,350,Markaz Khanaqin,Diyala,2060,0.169902913,31
109,id_1667,6,Khanaqin,2405030,109,24395,Diyala,Khanaqin,Alshortah Qtr,حي الشرطة,34.34729715,45.40665635,23,Markaz Khanaqin,Diyala,2060,0.011165049,7
110,id_1670,6,Kifri,2405034,109,25429,Diyala,Kifri,Markaz Jabara,جبارة,34.59153193,44.93436635,140,Jabarra,Diyala,2201,0.063607451,7
111,id_1676,6,Kifri,2405041,109,25252,Diyala,Kifri,Khozifah village,قرية خزيفة,34.43677963,45.06062489,40,Qara Tabe,Diyala,2201,0.018173557,7
112,id_1687,6,Khanaqin,2405055,109,25248,Diyala,Khanaqin,Rapren-2 Qtr,حي رابرين-2,34.31798321,45.38393529,18,Markaz Khanaqin,Diyala,2060,0.008737864,7
113,id_1692,6,Khanaqin,2405062,109,25342,Diyala,Khanaqin,Sirwan Qtr,حي سيروان,34.3523054,45.4229589,40,Markaz Khanaqin,Diyala,2060,0.019417476,7
